iteration,infinity_norm,two_norm
0,45.0,96.04686356149273
1,44.4372574385511,75.69981308722257
2,22.536036887462586,46.7838079972879
3,14.108924721980028,32.277783133313584
4,12.294209334571644,25.521905754958844
5,9.209465380683746,21.720333656180525
6,8.812841734612107,16.398667638416732
7,11.368551453748506,15.01977620495332
8,7.98726796035853,17.971959931926563
9,9.160380229877454,15.456302968522579
10,6.828156554955598,12.723190674362003
11,3.8933048145954814,10.919353989669144
12,4.441504185387444,9.513732172518129
13,2.0752977605230853,4.602562527817184
14,1.2522339460334138,2.7130124882485935
15,1.6065786480168356,3.102560046961435
16,1.0777622612499647,2.5253375244892275
17,0.337256599593843,0.7709002752078636
18,0.008941369378241859,0.020966603625365992
19,7.742933831877963e-7,1.8378850170682827e-6