N,Integral,Error
1,0.8775825618903728,0.036111577082476254
2,0.8503006452922328,0.00882966048433631
3,0.8453793458454515,0.003908361037554986
4,0.8436663167025465,0.0021953318946500433
5,0.8428750743698316,0.0014040895619350513
6,0.8424456991964263,0.0009747143885298071
7,0.8421869475034672,0.0007159626955707266
8,0.8420190672464982,0.0005480824386017158
9,0.8419039961670827,0.00043301135918616396
10,0.8418217000072957,0.0003507151993992208
11,0.8417608174053209,0.0002898325974244331
12,0.8417145153208724,0.0002435305129758758
13,0.8416784838788398,0.00020749907094330666
14,0.8416498955690674,0.00017891076117093618
15,0.8416268329703337,0.0001558481624371888
16,0.8416079585815617,0.00013697377366517216
17,0.8415923163990292,0.00012133159113270064
18,0.8415792084113782,0.00010822360348172744
19,0.841568115345253,9.713053735649346e-5
20,0.8415586444272832,8.765961938672628e-5